category,subject,description,link
בריאות,ניפוץ מיתוסים,הוראות והנחיות שחשוב להקפיד על מנת לשמור על עצמכם בסיכון נמוך של הידבקות מהקורונה.,
בריאות,הנחיות משרד הבריאות,מידע אודות הנחיות והוראות מטעם משרד הבריאות,https://govextra.gov.il/ministry-of-health/corona/corona-virus/
,,,
חינוך,FreeCodeCamp - Learn To Code,"פלטפורמה ללימוד פיתוח אתרים בחינם. תכנים באיכות גבוהה, ניתן לרכוש ידע חיוני לבניית אתרים הן כתחביב והן כמקצוע",https://www.freecodecamp.org/
חינוך,Coursera - Free Online Courses,"מגוון רב של קורסים חינמיים בתחומים שונים, בעיקר בתחום תכנות, פיתוח אתרים, ניתוח מידע, בינה מלאכותית וכו׳",https://www.coursera.org/
חינוך,Class Central - Learn From The Best,פלטפורמה נוספת של קורסים בכל התחומים.,https://www.classcentral.com/
,,,
פעילויות,Lichess.com,פלטפורמה למשחק שחמט באינטרנט מול משתתפים אחרים. האתר כולל מדריכים ומערכת לימוד החל מהשחקן המתחיל ועד למתקדם.,https://www.lichess.org
,,,
,,,
,,ר,